route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_sort_order,ineo_id
01,1,1,Lianes 1,3,00B1EB,FFFFFF,,1
02,1,2,Lianes 2,3,00B1EB,FFFFFF,,2
05,1,5,Lianes 5,3,00B1EB,FFFFFF,,5
06,1,6,Lianes 6,3,00B1EB,FFFFFF,,6
07,1,7,Lianes 7,3,00B1EB,FFFFFF,,7
08,1,8,Lianes 8,3,00B1EB,FFFFFF,,8
09,1,9,Lianes 9,3,00B1EB,FFFFFF,,9
15,1,15,Lianes 15,3,00B1EB,FFFFFF,,15
16,1,16,Lianes 16,3,00B1EB,FFFFFF,,16
20,1,20,Principale 20,3,00A98B,FFFFFF,,20
22,1,22,Principale 22,3,00A98B,FFFFFF,,65
23,1,23,Principale 23,3,00A98B,FFFFFF,,21
24,1,24,Principale 24,3,00A98B,FFFFFF,,22
25,1,25,Principale 25,3,00A98B,FFFFFF,,23
26,1,26,Principale 26,3,00A98B,FFFFFF,,66
27,1,27,Principale 27,3,00A98B,FFFFFF,,24
28,1,28,Principale 28,3,00A98B,FFFFFF,,25
29,1,29,Principale 29,3,00A98B,FFFFFF,,67
30,1,30,Locale 30,3,76B82A,FFFFFF,,68
31,1,31,Lianes 31,3,00B1EB,FFFFFF,,26
32,1,32,Locale 32,3,76B82A,FFFFFF,,27
33,1,33,Locale 33,3,76B82A,FFFFFF,,69
34,1,34,Locale 34,3,76B82A,FFFFFF,,28
35,1,35,Lianes 35,3,00B1EB,FFFFFF,,29
37,1,37,Locale 37,3,76B82A,FFFFFF,,31
38,1,38,Locale 38,3,76B82A,FFFFFF,,70
39,1,39,Lianes 39,3,00B1EB,FFFFFF,,71
51,1,51,Directe 51,3,4A4A49,FFFFFF,,81
52,1,52,Directe 52,3,4A4A49,FFFFFF,,82
53,1,53,Directe 53,3,4A4A49,FFFFFF,,83
454,1,54,Directe 54,3,4A4A49,FFFFFF,,84
55,1,55,Directe 55,3,4A4A49,FFFFFF,,44
57,1,57,Directe 57,3,4A4A49,FFFFFF,,85
460,1,60,Locale 60,3,76B82A,FFFFFF,,88
461,1,61,Locale 61,3,76B82A,FFFFFF,,89
64,1,64,Locale 64,3,76B82A,FFFFFF,,49
65,1,65,Locale 65,3,76B82A,FFFFFF,,92
66,1,66,Locale 66,3,76B82A,FFFFFF,,50
67,1,67,Locale 67,3,76B82A,FFFFFF,,51
469,1,69,Locale 69,3,76B82A,FFFFFF,,95
70,1,70,Locale 70,3,76B82A,FFFFFF,,52
71,1,71,Locale 71,3,76B82A,FFFFFF,,96
72,1,72,Locale 72,3,76B82A,FFFFFF,,97
73,1,73,Locale 73,3,76B82A,FFFFFF,,53
74,1,74,Locale 74,3,76B82A,FFFFFF,,54
75,1,75,Locale 75,3,76B82A,FFFFFF,,98
76,1,76,Locale 76,3,76B82A,FFFFFF,,99
